Age,Gender,Income,CountryLive
31,male,40000,United Kingdom
33,female,10000,Portugal
36,male,33000,United States of America
28,male,50000,United States of America
28,male,32000,United States of America
34,male,30000,United States of America
28,female,30000,United States of America
33,male,27000,United States of America
23,male,35000,Australia
27,female,45000,United States of America
28,male,100000,United States of America
32,male,145000,United States of America
27,trans,44500,United States of America
28,female,15000,Poland
27,female,60000,United States of America
30,male,30000,United States of America
28,male,90000,United States of America
32,male,28000,United Kingdom
25,male,6000,United States of America
31,male,10000,Canada
30,female,7500,Poland
46,female,30000,United States of America
26,female,65000,United States of America
27,female,32000,United States of America
34,male,50000,United States of America
